time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_pH,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_Nfixer,PHY_Nfixer_IN,PHY_Nfixer_IP,PHY_hot,PHY_hot_IN,PHY_hot_IP,PHY_cold,PHY_cold_IN,PHY_cold_IP
2013-09-05,1e-08,12.4775634,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-06,1e-08,12.51214118,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-07,1e-08,12.54671895,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-08,1e-08,12.58129673,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-09,1e-08,12.61587451,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-10,1e-08,12.65045229,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-11,1e-08,12.68503007,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-12,1e-08,12.71960784,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-13,1e-08,12.75418562,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-14,1e-08,12.7887634,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
